17,-4,440,1665,21.010,78.875,,,0.08, 2.16,,,,-14.20, 1.40,,,,-13.70, 1.39,,,,,,,
18,-79,442,1740,18.180,81.570,,,-0.93, 2.53,,,,-15.20, 1.92,,,,-14.77, 1.92,,,,,,,
19,-154,445,1815,15.564,84.646,,,0.54, 1.96,,,,-13.73, 1.07,,,,-13.37, 1.06,,,,,,,
20,-229,448,1890,12.647,87.178,,,-0.88, 1.89,,,,-15.16, 0.94,,,,-14.86, 0.93,,,,,,,
21,-304,450,1965,10.286,89.674,,,-0.40, 1.93,,,,-14.67, 1.01,,,,-14.43, 1.01,,,,,,,
22,-379,452,2040,8.39,91.451,,,0.37, 2.00,,,,-13.90, 1.14,,,,-13.70, 1.13,,,,,,,
23,-454,455,2115,6.705,93.375,,,0.24, 1.87,,,,-14.04, 0.90,,,,-13.88, 0.90,,,,,,,
24,-529,458,2190,5.569,94.309,,,1.75, 2.02,,,,-12.52, 1.17,,,,-12.39, 1.17,,,,,,,
25,-604,460,2265,4.232,95.852,,,-0.66, 2.42,,,,-14.94, 1.77,,,,-14.84, 1.77,,,,,,,
26,-679,462,2340,3.335,96.464,,,0.77, 2.58,,,,-13.50, 1.99,,,,-13.42, 1.99,,,,,,,
27,-754,465,2415,2.738,97.2,,,-0.39, 2.64,,,,-14.67, 2.06,,,,-14.61, 2.06,,,,,,,
28,-829,468,2490,1.79,98.1,,,-0.42, 2.22,,,,-14.70, 1.50,,,,-14.66, 1.50,,,,,,,
,,,2954,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
