Term,AY,Semester,Crn1,Crn2,School,Course1,Course2,Level,Schedule,Enroll
201530,2014-15,Fall,32691,,AD,PHIL290,,Undergraduate,Lecture,20
201530,2014-15,Fall,32692,,AD,PHIL330,,Undergraduate,Lecture,13
201530,2014-15,Fall,32694,,AD,PHIL450,,Undergraduate,Seminar,11
201530,2014-15,Fall,32695,,AD,CREA101,,Undergraduate,Lecture,26
201530,2014-15,Fall,32696,,AD,CREA102,,Undergraduate,Lecture,28
201530,2014-15,Fall,32697,,AD,CREA112,,Undergraduate,Studio Course,16
201530,2014-15,Fall,32698,,AD,CREA204,,Undergraduate,Studio Course,15
201530,2014-15,Fall,32699,,AD,CREA219,,Undergraduate,Performance,14
201530,2014-15,Fall,32700,,AD,CREA297,,Undergraduate,Studio Course,9
201530,2014-15,Fall,32702,,AD,CREA311,,Undergraduate,Lecture,13
201530,2014-15,Fall,32703,,AD,CREA313,,Undergraduate,Studio Course,9
201530,2014-15,Fall,32704,,AD,CREA325,,Undergraduate,Studio Course,8
201530,2014-15,Fall,32708,,SD,CSIS110,,Undergraduate,Lab,15
201530,2014-15,Fall,32709,,SD,CSIS110,,Undergraduate,Lecture,29
201530,2014-15,Fall,32710,,AD,CREA397,,Undergraduate,Performance,1
201530,2014-15,Fall,32711,,SD,CSIS110,,Undergraduate,Lab,14
201530,2014-15,Fall,32712,,SD,CSIS110,,Undergraduate,Lab,15
201530,2014-15,Fall,32714,,AD,CREA397,,Undergraduate,Studio Course,7
201530,2014-15,Fall,32715,,AD,CREA435,,Undergraduate,Studio Course,9
201530,2014-15,Fall,32716,,SD,CSIS114,,Undergraduate,Lab,16
201530,2014-15,Fall,32717,,SD,CSIS114,,Undergraduate,Lab,17
201530,2014-15,Fall,32719,,SD,CSIS180,,Undergraduate,Lab,11
201530,2014-15,Fall,32720,,AD,CREA397,,Undergraduate,Practicum,1
201530,2014-15,Fall,32721,,SD,CSIS410,,Undergraduate,Lab,30
201530,2014-15,Fall,32722,,SD,MATH110,,Undergraduate,Lecture,30
201530,2014-15,Fall,32723,,SD,MATH110,,Undergraduate,Lab,17
201530,2014-15,Fall,32724,,SD,MATH110,,Undergraduate,Lab,13
201530,2014-15,Fall,32725,,AD,ENGL222,,Undergraduate,Lecture,21
201530,2014-15,Fall,32726,,AD,ENGL235,,Undergraduate,Lecture,26
201530,2014-15,Fall,32730,,AD,ENGL285,,Undergraduate,Lecture,12
201530,2014-15,Fall,32731,,AD,ENGL300,,Undergraduate,Lecture,11
201530,2014-15,Fall,32732,,AD,ENGL335,,Undergraduate,Lecture,16
201530,2014-15,Fall,32733,,AD,ENGL355,,Undergraduate,Lecture,19
201530,2014-15,Fall,32734,,AD,ENGL365,,Undergraduate,Lecture,15
201530,2014-15,Fall,32735,,AD,ENGL370,,Undergraduate,Lecture,23
201530,2014-15,Fall,32736,,SD,BIOL460,,Undergraduate,Lecture,35
