Electron Microprobe Data,, 96 hours,1400 C,,,,,Isotope Data,,,,,,,
,Fe,Ni,Total,x,y,z,,,,,,,,,
FNDA_2_profile (Line)  Pt 1,,,,,,,,,,,,,,,
1.62,0.964954,98.61167,99.57662,13478,1503,-104, ,FNDA-2,Fe A %,Ni A %,del Fe  ä/amu,error,,del Ni ä/amu-2,error
0.12,33.58189,67.37267,100.9546,13478,3,-96, ,,1.5015,89.97,9.92,-6.21856,0.6006,,1.9662,2.87,97.14,0.37553
0.105,34.03826,66.67654,100.7148,13478,-12,-96, ,,1.5246,90.73,9.16,-6.63365,0.6237,,1.9965,2.57,97.44,0.33589
0.09,34.87771,65.77316,100.6509,13478,-27,-96, ,,1.5477,91.45,8.44,-7.05641,0.6468,,2.0267,2.32,97.69,0.2983
0.075,35.9294,64.84875,100.7782,13478,-42,-96, ,,1.5708,92.14,7.75,-7.48428,0.6699,,2.057,2.1,97.91,0.26305
0.06,36.98994,64.0057,100.9957,13478,-57,-96, ,,1.5939,92.8,7.1,-7.91392,0.693,,2.0872,1.91,98.1,0.23036
0.045,37.51051,63.08456,100.5951,13478,-72,-96, ,,1.617,93.42,6.49,-8.34111,0.7161,,2.1175,1.75,98.26,0.20037
0.03,38.62851,62.07122,100.6997,13478,-87,-95, ,,1.6401,93.99,5.91,-8.76069,0.7392,,2.1477,1.61,98.39,0.17313
0.015,39.76162,61.25098,101.0126,13478,-102,-95, ,,1.6632,94.53,5.38,-9.16641,0.7623,,2.178,1.5,98.51,0.14861
0,40.63917,60.19154,100.8307,13478,-117,-95, ,,1.6863,95.03,4.88,-9.55097,0.7854,,2.2083,1.4,98.6,0.12676
-0.015,41.65326,59.18754,100.8408,13478,-132,-95, ,,1.7094,95.49,4.43,-9.90596,0.8085,,2.2385,1.32,98.68,0.10744
-0.03,42.51018,58.07793,100.5881,13478,-147,-95, ,,1.7325,95.92,4.01,-10.22204,0.8316,,2.2688,1.26,98.74,0.0905
-0.045,43.60678,57.22434,100.8311,13478,-162,-95, ,,1.7556,96.3,3.63,-10.48906,0.8547,,2.299,1.21,98.79,0.07578
-0.06,44.88758,56.44903,101.3366,13478,-177,-95, ,,1.7787,96.65,3.29,-10.69649,0.8778,,2.3293,1.17,98.84,0.06307
-0.075,46.11347,55.00505,101.1185,13478,-192,-95, ,,1.8018,96.96,2.98,-10.83382,0.9009,,2.3595,1.13,98.87,0.05219
-0.09,47.21028,54.01075,101.221,13478,-207,-95, ,,1.8249,97.24,2.7,-10.89126,0.924,,2.3898,1.1,98.9,0.04294
-0.105,48.34991,52.60047,100.9504,13478,-222,-95, ,,1.848,97.49,2.46,-10.86042,0.9471,,2.42,1.08,98.92,0.03513
-0.12,49.59575,51.52654,101.1223,13478,-237,-95, ,,1.8711,97.71,2.25,-10.73523,0.9702,,2.4503,1.06,98.94,0.02858
-0.135,51.07201,49.93301,101.005,13478,-252,-95, ,,1.8942,97.9,2.06,-10.51267,0.9933,,2.4805,1.05,98.95,0.02312
-0.15,52.2295,48.70998,100.9395,13478,-267,-95, ,,1.9173,98.07,1.9,-10.19349,1.0164,,2.5108,1.04,98.96,0.0186
-0.165,53.39239,47.51181,100.9042,13478,-282,-94, ,,1.9404,98.21,1.76,-9.78265,1.0395,,2.541,1.03,98.97,0.01489
-0.18,55.05045,45.76593,100.8164,13478,-297,-94, ,,1.9635,98.34,1.63,-9.28936,1.0626,,2.5712,1.02,98.98,0.01185
-0.195,56.36372,44.4833,100.847,13478,-312,-94, ,,1.9866,98.45,1.53,-8.72678,1.0857,,2.6015,1.02,98.98,0.00939
-0.21,57.9915,42.7619,100.7534,13478,-327,-94, ,,2.0097,98.54,1.44,-8.1112,1.1088,,2.6318,1.01,98.99,0.00739
-0.225,59.7184,41.34367,101.0621,13478,-342,-94, ,,2.0328,98.62,1.37,-7.46102,1.1319,,2.662,1.01,98.99,0.00579
-0.24,61.24694,39.30251,100.5494,13478,-357,-94, ,,2.0559,98.68,1.3,-6.79542,1.155,,2.6923,1.01,98.99,0.00452
-0.255,63.70823,37.70075,101.409,13478,-372,-94, ,,2.079,98.74,1.25,-6.1332,1.1781,,2.7225,1.01,98.99,0.00351
-0.27,65.06483,35.98885,101.0537,13478,-387,-94, ,,2.1021,98.78,1.21,-5.49164,1.2012,,2.7527,1,99,0.00271
-0.285,67.23341,34.17597,101.4094,13478,-402,-94, ,,2.1252,98.82,1.17,-4.88573,1.2243,,2.783,1,99,0.00208
-0.3,69.23838,32.05886,101.2972,13478,-417,-94, ,,2.1483,98.85,1.14,-4.32776,1.2474,,2.8133,1,99,0.0016
-0.315,71.11321,30.0317,101.1449,13478,-432,-94, ,,2.1714,98.88,1.11,-3.82723,1.2705,,2.8435,1,99,0.00122
-0.33,71.52451,27.44116,98.96567,13478,-447,-94, ,,2.1945,98.9,1.09,-3.39097,1.2936,,2.8737,1,99,0.00094
-0.345,75.73245,25.65533,101.3878,13478,-462,-93, ,,2.2176,98.91,1.08,-3.0236,1.3167,,2.904,1,99,0.00073
-0.36,77.79385,23.29367,101.0875,13478,-477,-93, ,,2.2407,98.93,1.07,-2.72793,1.3398,,2.9343,1,99,0.00057
-0.375,80.62544,21.07599,101.7014,13478,-492,-93, ,,2.2638,98.94,1.06,-2.50551,1.3629,,2.9645,1,99,0.00046
-0.39,82.39224,19.10765,101.4999,13478,-507,-93, ,,2.2869,98.94,1.05,-2.35704,1.386,,2.9948,1,99,0.00039
-0.405,85.09051,16.83356,101.9241,13478,-522,-93, ,,2.31,98.94,1.05,-2.28277,1.4091,,3.025,1,99,0.00036
-0.42,86.60862,14.71722,101.3258,13478,-537,-93, ,,,,,,,,,,,
-0.435,88.23502,12.63007,100.8651,13478,-552,-93, ,,,,,,,,,,,
-0.45,91.07489,11.00061,102.0755,13478,-567,-93, ,,,,,,,,,,,
-0.465,92.58742,9.219988,101.8074,13478,-582,-93, ,,,,,,,,,,,
-0.48,94.27711,7.729377,102.0065,13478,-597,-93, ,,,,,,,,,,,
-0.495,95.95749,6.444598,102.4021,13478,-612,-93, 
-0.51,96.14642,5.472312,101.6187,13478,-627,-93, 
-0.525,97.23345,4.477123,101.7106,13478,-642,-93, 
-0.54,97.89087,3.524224,101.4151,13478,-657,-92, 
-0.555,98.92213,2.999194,101.9213,13478,-672,-92, 
-0.57,99.54584,2.587528,102.1334,13478,-687,-92, 
-0.585,99.57986,2.184145,101.764,13478,-702,-92, 
-0.6,100.3616,1.831799,102.1934,13478,-717,-92, 
-0.615,100.7159,1.589689,102.3056,13478,-732,-92, 
-0.63,100.6148,1.453265,102.068,13478,-747,-92, 
-0.645,100.6137,1.210862,101.8245,13478,-762,-92, 
-0.66,100.0664,1.173322,101.2398,13478,-777,-92, 
-0.675,101.426,1.081392,102.5074,13478,-792,-92, 
-0.69,100.6862,1.039493,101.7257,13478,-807,-92, 
-0.705,101.0654,0.987233,102.0526,13478,-822,-92, 
-0.72,100.8246,0.97366,101.7982,13478,-837,-91, 
-0.735,100.7829,0.942014,101.7249,13478,-852,-91, 
-0.75,100.9974,0.902146,101.8995,13478,-867,-91, 
-0.765,100.2023,0.914461,101.1168,13478,-882,-91, 
-0.78,100.5585,0.887496,101.446,13478,-897,-91, 
-0.795,100.5806,0.894171,101.4748,13478,-912,-91, 
-0.81,100.6922,0.905282,101.5975,13478,-927,-91, 
-0.825,100.7268,0.879601,101.6064,13478,-942,-91, 
-0.84,100.8517,0.871894,101.7236,13478,-957,-91, 
-0.855,100.8432,0.910241,101.7534,13478,-972,-91, 
-0.87,100.7192,0.893581,101.6128,13478,-987,-91, 
-0.885,100.0908,0.920548,101.0114,13478,-1002,-91, 
-0.9,100.4534,0.928328,101.3818,13478,-1017,-90, 
-0.915,100.2171,0.882721,101.0998,13478,-1032,-90, 
-0.93,100.1455,0.838294,100.9838,13478,-1047,-90, 
-0.945,100.2242,0.897514,101.1217,13478,-1062,-90, 
-0.96,100.5725,0.904998,101.4775,13478,-1077,-90, 
-0.975,100.4945,0.917681,101.4122,13478,-1092,-90, 
-0.99,99.45356,0.903517,100.3571,13478,-1107,-90, 
-1.005,100.9109,0.94594,101.8568,13478,-1122,-90, 
-1.02,100.81,0.874144,101.6841,13478,-1137,-90, 
-1.035,101.0956,0.879902,101.9756,13478,-1152,-90, 
-1.05,100.798,0.862665,101.6607,13478,-1167,-90, 
-1.065,100.4847,0.941694,101.4264,13478,-1182,-90, 
-1.08,101.0077,0.913981,101.9217,13478,-1197,-90, 
-1.095,100.8196,0.865699,101.6853,13478,-1212,-89, 
-1.11,101.3445,0.880779,102.2253,13478,-1227,-89, 
-1.125,100.286,0.873013,101.159,13478,-1242,-89, 
-1.14,100.6121,0.940315,101.5524,13478,-1257,-89, 
-1.155,100.4836,0.909727,101.3933,13478,-1272,-89, 
-1.17,100.3031,0.901835,101.205,13478,-1287,-89, 
-1.185,100.5445,0.92858,101.4731,13478,-1302,-89, 
-1.2,100.1139,0.927123,101.041,13478,-1317,-89, 
-1.215,100.6222,0.929,101.5512,13478,-1332,-89, 
-1.23,100.1303,0.965821,101.0961,13478,-1347,-89, 
-1.245,99.83061,0.945623,100.7762,13478,-1362,-89, 
-1.26,100.2822,0.927173,101.2094,13478,-1377,-89, 
-1.275,100.3545,0.935237,101.2897,13478,-1392,-88, 
-1.29,100.0773,0.885181,100.9625,13478,-1407,-88, 
-1.305,100.2632,0.923525,101.1867,13478,-1422,-88, 
-1.32,100.4799,0.904329,101.3842,13478,-1437,-88, 
-1.335,100.0976,0.906278,101.0039,13478,-1452,-88, 
-1.35,100.2742,0.925043,101.1993,13478,-1467,-88, 
