NAME,MUNI_TYPE,POP_1990,POP_2000,POP_2010,Pop_Density_1990,Pop_Density_2000,Pop_Density_2010,Pop_Dens_change_90-00,Pop_Dens_change_00-10,Pop_Dens_change_90-10,Area_square_miles,Longitude,Latitude
Long Beach,city,33510,35462,33275,12601.425,13335.474,12513.054,734.049,-822.421,-88.372,2.659,-73.66584,40.58865
Long Lake,town,930,852,711,2.069,1.895,1.581,-0.173,-0.314,-0.487,449.580,-74.586313,43.971806
Lorraine,town,766,930,1037,19.646,23.852,26.596,4.206,2.744,6.950,38.991,-75.96834,43.749727
Louisville,town,3040,3195,3145,47.634,50.063,49.279,2.429,-0.783,1.645,63.820,-75.013851,44.906572
Lowville,town,4849,4548,4982,127.309,119.407,130.801,-7.903,11.395,3.492,38.088,-75.52375,43.816229
Lumberland,town,1425,1939,2468,28.734,39.098,49.765,10.364,10.667,21.031,49.593,-74.811524,41.493996
Lyme,town,1701,2015,2185,16.928,20.053,21.745,3.125,1.692,4.817,100.482,-76.213752,44.041522
Lyndon,town,503,661,707,15.105,19.849,21.231,4.745,1.381,6.126,33.301,-78.362802,42.305155
Lyons,town,6315,5831,5682,168.126,155.241,151.274,-12.886,-3.967,-16.853,37.561,-76.999628,43.088066
Lyonsdale,town,1281,1273,1227,18.396,18.281,17.621,-0.115,-0.661,-0.775,69.634,-75.246599,43.606233
Lysander,town,16346,19285,21759,253.127,298.639,336.950,45.512,38.311,83.823,64.576,-76.374438,43.179914
Macedon,town,7375,8688,9148,190.172,224.030,235.891,33.857,11.862,45.719,38.781,-77.309551,43.079288
Machias,town,2338,2482,2375,56.826,60.326,57.725,3.500,-2.601,0.899,41.143,-78.523463,42.397664
Macomb,town,790,846,906,12.541,13.430,14.383,0.889,0.952,1.841,62.993,-75.565031,44.444072
Madison,town,2774,2801,3008,67.048,67.701,72.704,0.653,5.003,5.656,41.373,-75.501912,42.884453
Madrid,town,1568,1828,1735,30.003,34.978,33.199,4.975,-1.780,3.196,52.261,-75.127161,44.76919
Maine,town,5576,5459,5377,122.272,119.707,117.908,-2.566,-1.798,-4.364,45.603,-76.031597,42.200209
Malone,town,12982,14981,14545,126.588,146.080,141.829,19.492,-4.251,15.241,102.553,-74.285988,44.795688
Malta,town,11709,13005,14765,373.356,414.681,470.801,41.325,56.120,97.444,31.361,-73.787864,42.985337
Mamakating,town,9792,11002,12085,99.417,111.702,122.698,12.285,10.996,23.281,98.494,-74.495039,41.585977
Mamaroneck,town,27706,28967,29156,1126.720,1178.001,1185.687,51.281,7.686,58.967,24.590,-73.706281,40.93205
Manchester,town,9351,9258,9395,247.171,244.713,248.334,-2.458,3.621,1.163,37.832,-77.189691,42.992135
Manheim,town,3527,3171,3334,118.588,106.619,112.099,-11.970,5.481,-6.489,29.742,-74.801603,43.066161
Manlius,town,30656,31872,32370,614.357,638.726,648.706,24.369,9.980,34.349,49.899,-75.979273,43.048926
Mansfield,town,724,800,808,18.233,20.147,20.348,1.914,0.201,2.115,39.709,-78.761141,42.302882
Marathon,town,2019,2189,1967,80.549,87.332,78.475,6.782,-8.857,-2.075,25.065,-76.011859,42.448176
Marbletown,town,5285,5854,5607,96.107,106.454,101.962,10.347,-4.492,5.856,54.991,-74.162733,41.869858
Marcellus,town,6456,6319,6210,198.282,194.075,190.727,-4.208,-3.348,-7.555,32.560,-76.325432,42.953908
Marcy,town,8685,9469,8982,260.484,283.998,269.392,23.514,-14.606,8.908,33.342,-75.26631,43.17318
Marilla,town,5250,5709,5327,190.753,207.431,193.551,16.677,-13.880,2.798,27.522,-78.532203,42.82517
Marion,town,4901,4974,4746,167.853,170.353,162.544,2.500,-7.809,-5.309,29.198,-77.194111,43.163
Marlborough,town,7430,8263,8263,279.795,311.164,311.164,31.369,0.000,31.369,26.555,-73.990717,41.633647
